Timestamp,Time,Latitude,Longitude,Accuracy,DoseRate,CountRate,Comment
133957848195010000,2025-06-30 19:20:19,34.0893446,-84.2539854,11.0,5.96,2.92, 
133957848215010000,2025-06-30 19:20:21,34.0894205,-84.2535568,12.0,6.09,2.93, 
133957848234800000,2025-06-30 19:20:23,34.0894791,-84.2531271,13.0,6.06,2.92, 
133957848255110000,2025-06-30 19:20:25,34.0895203,-84.2526996,11.0,5.96,2.9, 
133957848274970000,2025-06-30 19:20:27,34.0895616,-84.2522634,11.0,6.01,2.91, 
133957848294860000,2025-06-30 19:20:29,34.0895909,-84.2518305,11.0,6.05,2.91, 
133957848315000000,2025-06-30 19:20:31,34.089618,-84.2513997,11.0,6.01,2.91, 
133957848334990000,2025-06-30 19:20:33,34.0896527,-84.2509646,11.0,6.02,2.93, 
133957848355040000,2025-06-30 19:20:35,34.0896853,-84.250536,11.0,5.9,2.91, 
133957848375000000,2025-06-30 19:20:37,34.0897287,-84.2501117,12.0,5.98,2.9, 
133957848394920000,2025-06-30 19:20:39,34.0898111,-84.2496929,12.0,5.76,2.89, 
133957848414930000,2025-06-30 19:20:41,34.0899218,-84.2492881,13.0,5.77,2.9, 
133957848434980000,2025-06-30 19:20:43,34.0900726,-84.2488932,14.0,5.94,2.91, 
133957848454940000,2025-06-30 19:20:45,34.090217,-84.2484874,13.0,5.95,2.93, 
133957848475100000,2025-06-30 19:20:47,34.090371,-84.2480718,13.0,6.02,2.92, 
133957848495130000,2025-06-30 19:20:49,34.0905327,-84.2476432,13.0,6.05,2.92, 
133957848515080000,2025-06-30 19:20:51,34.0906922,-84.247207,12.0,6.14,2.91, 
133957848535080000,2025-06-30 19:20:53,34.0908593,-84.2467654,12.0,6.1,2.89, 
133957848555200000,2025-06-30 19:20:55,34.0910394,-84.2463194,13.0,6.11,2.88, 
133957848575310000,2025-06-30 19:20:57,34.0912315,-84.2458778,13.0,6.29,2.89, 
133957848595200000,2025-06-30 19:20:59,34.0914388,-84.2454513,13.0,6.35,2.88, 
133957848615220000,2025-06-30 19:21:01,34.0916644,-84.2450531,13.0,5.9,2.87, 
133957848635230000,2025-06-30 19:21:03,34.091901,-84.2446668,13.0,5.8,2.85, 
133957848655240000,2025-06-30 19:21:05,34.0921332,-84.2442849,13.0,5.68,2.84, 
