Track: 2025-07-03 08-29-21	RC-102-008228	 	EC
Timestamp	Time	Latitude	Longitude	Accuracy	DoseRate	CountRate	Comment
133960193624900000	2025-07-03 12:29:22	34.5012738	-83.9683355	22	7.91	5.54	 
133960193634970000	2025-07-03 12:29:23	34.5012738	-83.9683355	22	7.8	5.52	 
133960193685070000	2025-07-03 12:29:28	34.5012771	-83.9683398	22	7.36	5.48	 
133960193734850000	2025-07-03 12:29:33	34.5012803	-83.9683409	22	7.95	5.5	 
133960193785050000	2025-07-03 12:29:38	34.5012803	-83.9683441	21	8.42	5.61	 
133960193835030000	2025-07-03 12:29:43	34.5012814	-83.9683485	21	8.16	5.64	 
133960193884970000	2025-07-03 12:29:48	34.5012814	-83.9683528	16	8.01	5.85	 
133960193935380000	2025-07-03 12:29:53	34.5012814	-83.968355	14	8.75	5.98	 
133960193985210000	2025-07-03 12:29:58	34.5012782	-83.968355	13	9.73	6.08	 
133960194035370000	2025-07-03 12:30:03	34.5012782	-83.9683539	12	9.73	6.08	 
133960194085310000	2025-07-03 12:30:08	34.5012966	-83.9683593	12	9.55	6.13	 
133960194135310000	2025-07-03 12:30:13	34.5013226	-83.9683799	12	9.42	6.09	 
133960194185630000	2025-07-03 12:30:18	34.5014279	-83.9683094	12	9.07	6.04	 
133960194225630000	2025-07-03 12:30:22	34.5015993	-83.9682671	12	9.32	6.05	 
133960194275460000	2025-07-03 12:30:27	34.5017078	-83.9681879	13	9.1	6	 
133960194325570000	2025-07-03 12:30:32	34.5017078	-83.9681705	12	9.14	5.87	 
133960194335640000	2025-07-03 12:30:33	34.5017078	-83.9681694	12	9.07	5.84	 
133960194385820000	2025-07-03 12:30:38	34.5017892	-83.9680284	14	8.81	5.82	 
133960194405740000	2025-07-03 12:30:40	34.5019476	-83.9679741	16	8.74	5.78	 
133960194425700000	2025-07-03 12:30:42	34.5021723	-83.9679361	16	8.65	5.78	 
133960194445880000	2025-07-03 12:30:44	34.5024294	-83.9679101	16	8.71	5.78	 
133960194465780000	2025-07-03 12:30:46	34.5027094	-83.9679058	15	8.8	5.81	 
133960194485800000	2025-07-03 12:30:48	34.5030023	-83.9679286	15	8.72	5.81	 
133960194505870000	2025-07-03 12:30:50	34.5032964	-83.9679774	15	8.64	5.82	 
133960194525850000	2025-07-03 12:30:52	34.503598	-83.9680533	15	8.67	5.81	 
133960194545830000	2025-07-03 12:30:54	34.5038812	-83.9681521	14	8.59	5.79	 
