Track: 2025-07-03 17-09-19	RC-102-008228	 	EC
Timestamp	Time	Latitude	Longitude	Accuracy	DoseRate	CountRate	Comment
133960505612920000	2025-07-03 21:09:21	34.3049796	-84.0842276	4.02	11.8	6.52	 
133960505623280000	2025-07-03 21:09:22	34.3049612	-84.0842546	3.29	11.7	6.51	 
133960505663530000	2025-07-03 21:09:26	34.3049536	-84.084263	3.15	11.8	6.52	 
133960505712900000	2025-07-03 21:09:31	34.3049445	-84.0842782	2.94	11.8	6.49	 
133960505762840000	2025-07-03 21:09:36	34.3049359	-84.0842927	2.63	12	6.57	 
133960505813190000	2025-07-03 21:09:41	34.304935	-84.0842941	2.5	12	6.61	 
133960505862880000	2025-07-03 21:09:46	34.304931	-84.0843002	2.37	12	6.61	 
133960505910940000	2025-07-03 21:09:51	34.3049303	-84.0843004	2.89	12.3	6.63	 
133960505952840000	2025-07-03 21:09:55	34.3049299	-84.0843014	2.95	12.4	6.62	 
133960506002830000	2025-07-03 21:10:00	34.3049321	-84.084301	2.48	12.2	6.59	 
133960506052900000	2025-07-03 21:10:05	34.304929	-84.0843025	2.15	12.3	6.56	 
133960506103100000	2025-07-03 21:10:10	34.3049274	-84.0843015	2.06	12.2	6.57	 
133960506153120000	2025-07-03 21:10:15	34.3049212	-84.0843013	2.01	12.1	6.55	 
133960506202990000	2025-07-03 21:10:20	34.3049197	-84.0843009	2.12	12.2	6.54	 
133960506252910000	2025-07-03 21:10:25	34.3049179	-84.0843021	2.12	12.1	6.53	 
133960506302940000	2025-07-03 21:10:30	34.3049163	-84.0842943	2.48	12.3	6.59	 
133960506352970000	2025-07-03 21:10:35	34.3049158	-84.0842861	2.85	12.2	6.57	 
133960506403210000	2025-07-03 21:10:40	34.3049165	-84.0842764	3.21	12.5	6.6	 
133960506452990000	2025-07-03 21:10:45	34.3049113	-84.0842655	2.79	12.2	6.59	 
133960506503310000	2025-07-03 21:10:50	34.3049126	-84.0842627	3.09	12.2	6.62	 
133960506553390000	2025-07-03 21:10:55	34.3049141	-84.0842621	4.49	11.7	6.59	 
133960506603020000	2025-07-03 21:11:00	34.3049112	-84.0842602	4.42	12	6.61	 
133960506653380000	2025-07-03 21:11:05	34.3049052	-84.0842616	4.1	12	6.62	 
133960506703550000	2025-07-03 21:11:10	34.3049071	-84.0842608	3.89	11.8	6.59	 
133960506753180000	2025-07-03 21:11:15	34.3049059	-84.0842593	3.74	11.7	6.58	 
133960506803050000	2025-07-03 21:11:20	34.3049094	-84.0842607	3.56	11.7	6.54	 
133960506853500000	2025-07-03 21:11:25	34.3049111	-84.084259	3.56	11.6	6.52	 
133960506903020000	2025-07-03 21:11:30	34.3049114	-84.0842595	3.47	11.9	6.55	 
133960506952960000	2025-07-03 21:11:35	34.3049094	-84.0842594	3.67	11.7	6.54	 
133960507002950000	2025-07-03 21:11:40	34.3049067	-84.0842637	3.89	11.8	6.54	 
133960507053160000	2025-07-03 21:11:45	34.3049124	-84.0842628	3.51	11.7	6.49	 
133960507103660000	2025-07-03 21:11:50	34.3049179	-84.0842714	3.14	11.8	6.5	 
133960507153200000	2025-07-03 21:11:55	34.3049184	-84.0842707	3.33	11.9	6.46	 
133960507203630000	2025-07-03 21:12:00	34.3049185	-84.0842705	4.93	11.9	6.5	 
133960507253380000	2025-07-03 21:12:05	34.304921	-84.0842687	5.34	11.8	6.5	 
133960507302830000	2025-07-03 21:12:10	34.3049208	-84.0842711	5.39	11.8	6.51	 
133960507352870000	2025-07-03 21:12:15	34.3049335	-84.0842666	5.21	11.9	6.51	 
133960507403150000	2025-07-03 21:12:20	34.3049369	-84.0842649	4.77	12.2	6.53	 
133960507452870000	2025-07-03 21:12:25	34.3049441	-84.0842604	3.83	12	6.52	 
133960507503100000	2025-07-03 21:12:30	34.3049433	-84.0842593	3.64	12.1	6.55	 
133960507551560000	2025-07-03 21:12:35	34.3049413	-84.0842631	4.18	12.2	6.57	 
133960507592940000	2025-07-03 21:12:39	34.3049393	-84.0842675	4.23	12.3	6.61	 
133960507642320000	2025-07-03 21:12:44	34.3049378	-84.0842672	4.03	12.4	6.61	 
133960507692460000	2025-07-03 21:12:49	34.3049587	-84.0842539	5.83	12.4	6.67	 
133960507742620000	2025-07-03 21:12:54	34.3049461	-84.0842558	5.88	12	6.71	 
133960507793150000	2025-07-03 21:12:59	34.3049427	-84.084265	4.8	11.6	6.66	 
133960507843290000	2025-07-03 21:13:04	34.3049263	-84.0842815	3.82	11.6	6.64	 
133960507893220000	2025-07-03 21:13:09	34.3049178	-84.0842887	3.08	11.6	6.66	 
133960507943300000	2025-07-03 21:13:14	34.3049081	-84.0842894	2.52	11.5	6.66	 
133960507993360000	2025-07-03 21:13:19	34.3049048	-84.0842927	2.38	11.3	6.64	 
133960508043120000	2025-07-03 21:13:24	34.3049036	-84.0842958	2.28	11.1	6.62	 
133960508093210000	2025-07-03 21:13:29	34.3049033	-84.0842965	2.38	11	6.63	 
133960508143190000	2025-07-03 21:13:34	34.3049079	-84.0842941	2.48	10.8	6.58	 
133960508193020000	2025-07-03 21:13:39	34.3049117	-84.084291	2.29	10.9	6.55	 
133960508243110000	2025-07-03 21:13:44	34.3049132	-84.0842914	2.38	10.8	6.57	 
